http_calls,http_loop,db_calls,db_loops,grpc_calls,grpc_loops,min_size,class
0,0,0,0,0,0,4,2
1,0,0,0,0,0,7,0
2,0,0,0,0,0,8,0
3,0,0,0,0,0,8,0
0,1,0,0,0,0,8,0
1,1,0,0,0,0,8,0
2,1,0,0,0,0,8,0
0,0,1,0,0,0,12,1,,,,,,,,,,,,,,
0,0,2,0,0,0,14,1,,,,,,,,,,,,,,
0,0,3,0,0,0,14,1,,,,,,,,,,,,,,
0,0,4,0,0,0,14,1,,,,,,,,,,,,,,
0,0,5,0,0,0,14,1,,,,,,,,,,,,,,
0,0,0,1,0,0,14,1,,,,,,,,,,,,,,
0,0,1,1,0,0,14,1,,,,,,,,,,,,,,
0,0,2,1,0,0,14,1,,,,,,,,,,,,,,
0,0,0,0,1,0,4,2,,,,,,,,,,,,,,
0,0,0,0,2,0,5,2,,,,,,,,,,,,,,
0,0,0,0,3,0,5,2,,,,,,,,,,,,,,
0,0,0,0,0,1,5,2,,,,,,,,,,,,,,
0,0,0,0,1,1,5,2,,,,,,,,,,,,,,
0,0,0,0,2,1,5,2,,,,,,,,,,,,,,
1,0,1,0,0,0,16,3,,,,,,,,,,,,,,
1,0,2,0,0,0,14,1,,,,,,,,,,,,,,
1,0,3,0,0,0,14,1,,,,,,,,,,,,,,
2,0,1,0,0,0,16,3,,,,,,,,,,,,,,
2,0,2,0,0,0,14,1,,,,,,,,,,,,,,
2,0,3,0,0,0,14,1,,,,,,,,,,,,,,
1,0,0,1,0,0,14,1,,,,,,,,,,,,,,
2,0,0,1,0,0,14,1,,,,,,,,,,,,,,
1,0,1,1,0,0,14,1,,,,,,,,,,,,,,
2,0,1,1,0,0,14,1,,,,,,,,,,,,,,
0,1,1,0,0,0,16,3,,,,,,,,,,,,,,
0,1,2,0,0,0,14,1,,,,,,,,,,,,,,
1,1,1,0,0,0,14,1,,,,,,,,,,,,,,
0,0,1,0,1,0,17,3,,,,,,,,,,,,,,
0,0,2,0,1,0,16,3,,,,,,,,,,,,,,
0,0,3,0,1,0,14,1,,,,,,,,,,,,,,
0,0,1,0,2,0,16,3,,,,,,,,,,,,,,
0,0,2,0,2,0,14,1,,,,,,,,,,,,,,
0,0,3,0,2,0,14,1,,,,,,,,,,,,,,
0,0,0,1,1,0,14,1,,,,,,,,,,,,,,
0,0,0,1,2,0,14,1,,,,,,,,,,,,,,
0,0,1,1,1,0,14,1,,,,,,,,,,,,,,
0,0,1,1,2,0,14,1,,,,,,,,,,,,,,
0,0,1,0,0,1,14,1,,,,,,,,,,,,,,
0,0,0,1,0,1,14,1,,,,,,,,,,,,,,
1,0,0,0,1,0,6,4,,,,,,,,,,,,,,
1,0,0,0,2,0,5,2,,,,,,,,,,,,,,
2,0,0,0,1,0,6,4,,,,,,,,,,,,,,
2,0,0,0,2,0,5,2,,,,,,,,,,,,,,
0,1,0,0,1,0,6,4,,,,,,,,,,,,,,
0,1,0,0,2,0,6,4,,,,,,,,,,,,,,
1,0,0,0,0,1,6,4,,,,,,,,,,,,,,
2,0,0,0,0,1,6,4,,,,,,,,,,,,,,
1,0,1,0,1,0,16,3,,,,,,,,,,,,,,
1,0,2,0,1,0,16,3,,,,,,,,,,,,,,
1,0,3,0,1,0,14,1,,,,,,,,,,,,,,
1,0,0,1,1,0,14,1,,,,,,,,,,,,,,
1,0,1,1,1,0,14,1,,,,,,,,,,,,,,
2,0,1,0,1,0,14,1,,,,,,,,,,,,,,
2,0,2,0,1,0,16,3,,,,,,,,,,,,,,
2,0,0,1,1,0,16,3,,,,,,,,,,,,,,
2,0,0,1,1,0,16,3,,,,,,,,,,,,,,
2,0,1,1,1,0,16,3,,,,,,,,,,,,,,
0,1,1,0,1,0,16,3,,,,,,,,,,,,,,
0,1,2,0,1,0,16,3,,,,,,,,,,,,,,
0,1,0,1,1,0,16,3,,,,,,,,,,,,,,
0,1,1,1,1,0,14,1,,,,,,,,,,,,,,
1,0,1,0,0,1,16,3,,,,,,,,,,,,,,
1,0,0,1,0,1,16,3,,,,,,,,,,,,,,
1,0,2,0,0,1,16,3,,,,,,,,,,,,,,
1,0,3,0,0,1,14,1,,,,,,,,,,,,,,